mouse_id,y_true,n_exams,day_range,prob_uniform,pred_uniform,prob_linear,pred_linear,prob_quad,pred_quad
1263,0,56,11–47,0.4060372888509716,0,0.38608715576910985,0,0.35900313456929095,0
1264,0,43,11–39,0.41157225562736044,0,0.42197031330854273,0,0.4305131514652766,0
1270,0,43,10–37,0.2812388719514359,0,0.26107279165224595,0,0.24996701620415535,0
1276,1,21,11–45,0.9088599412214189,1,0.9403000052776938,1,0.9633836227579576,1
1281,1,12,10–27,0.979390432437261,1,0.9818518357806736,1,0.9841293180413558,1
1284,1,8,10–27,0.9482067301869392,1,0.9652548111718278,1,0.9780955909844061,1
1285,1,17,9–31,0.6345931431826424,1,0.6582468754660656,1,0.6845244388335022,1
1380,0,47,11–41,0.1453837762249911,0,0.13728841357682617,0,0.13053256411434117,0
1382,1,8,11–29,0.4236511578783393,0,0.47158893955828146,0,0.5126610413568503,1
1383,0,43,11–49,0.48090176007082297,0,0.4006552119958139,0,0.3377830574918619,0
